user_id,chat_id,text
12,1,Message number 0
3,3,Message number 1
5,2,Message number 2
20,3,Message number 3
1,1,Message number 4
6,4,Message number 5
16,2,Message number 6
19,2,Message number 7
15,3,Message number 8
9,3,Message number 9
18,3,Message number 10
8,5,Message number 11
14,5,Message number 12
13,5,Message number 13
19,5,Message number 14
16,4,Message number 15
13,5,Message number 16
16,1,Message number 17
15,4,Message number 18
16,1,Message number 19
14,4,Message number 20
9,5,Message number 21
11,1,Message number 22
13,2,Message number 23
20,5,Message number 24
20,5,Message number 25
20,3,Message number 26
6,5,Message number 27
14,1,Message number 28
10,1,Message number 29
12,3,Message number 30
9,4,Message number 31
11,5,Message number 32
12,1,Message number 33
7,3,Message number 34
11,1,Message number 35
13,1,Message number 36
12,3,Message number 37
18,5,Message number 38
6,1,Message number 39
7,1,Message number 40
4,5,Message number 41
7,1,Message number 42
9,4,Message number 43
4,4,Message number 44
18,5,Message number 45
2,4,Message number 46
14,2,Message number 47
6,2,Message number 48
11,4,Message number 49
1,4,Message number 50
6,5,Message number 51
1,4,Message number 52
13,3,Message number 53
2,5,Message number 54
8,2,Message number 55
4,2,Message number 56
4,5,Message number 57
6,5,Message number 58
18,3,Message number 59
10,2,Message number 60
8,2,Message number 61
10,1,Message number 62
9,1,Message number 63
16,5,Message number 64
15,2,Message number 65
18,4,Message number 66
8,1,Message number 67
9,4,Message number 68
10,3,Message number 69
8,1,Message number 70
16,1,Message number 71
5,1,Message number 72
14,3,Message number 73
10,2,Message number 74
15,2,Message number 75
11,5,Message number 76
20,5,Message number 77
5,4,Message number 78
10,4,Message number 79
6,3,Message number 80
20,2,Message number 81
10,1,Message number 82
5,2,Message number 83
17,4,Message number 84
17,3,Message number 85
5,3,Message number 86
18,3,Message number 87
11,2,Message number 88
6,5,Message number 89
14,5,Message number 90
8,2,Message number 91
5,2,Message number 92
2,2,Message number 93
14,5,Message number 94
10,2,Message number 95
16,2,Message number 96
18,3,Message number 97
17,1,Message number 98
7,4,Message number 99
